table	manuscript_line	row	column	printed	artifact_value	verdict	source
3C-b	311	tantan/unfiltered	Coverage (%)	56.51	56.50881462387826	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_maize_w200.bed; pass3-checks.py maize unfiltered
3C-b	311	tantan/unfiltered	Offset (bp)	59.5	59.53	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_maize_w200.bed; pass3-checks.py maize unfiltered
3C-b	312	BWTandem/banded	Detected	17/17	17/17	REJECTED	results/beds/bwtandem_maize.bed.gz; pass3-checks.py maize banded
3C-b	312	BWTandem/banded	Coverage (%)	40.71	40.70963726320024	REJECTED	results/beds/bwtandem_maize.bed.gz; pass3-checks.py maize banded
3C-b	312	BWTandem/banded	Offset (bp)	3,036	3035.97	REJECTED	results/beds/bwtandem_maize.bed.gz; pass3-checks.py maize banded
3C-b	312	BWTandem/banded	Loss under band (pp)	−17.84	-17.838979310153782	REJECTED	results/beds/bwtandem_maize.bed.gz; pass3-checks.py maize banded
3C-b	313	TRF/banded	Detected	17/17	17/17	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3C_centc.bed; pass3-checks.py maize banded
3C-b	313	TRF/banded	Coverage (%)	57.63	57.632530608173745	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3C_centc.bed; pass3-checks.py maize banded
3C-b	313	TRF/banded	Offset (bp)	1,779	1779.35	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3C_centc.bed; pass3-checks.py maize banded
3C-b	313	TRF/banded	Loss under band (pp)	−0.87	-0.8716830879566189	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3C_centc.bed; pass3-checks.py maize banded
3C-b	314	ULTRA/banded	Detected	17/17	17/17	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_maize_exp3C.bed; pass3-checks.py maize banded
3C-b	314	ULTRA/banded	Coverage (%)	55.84	55.83508972000157	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_maize_exp3C.bed; pass3-checks.py maize banded
3C-b	314	ULTRA/banded	Offset (bp)	1,795	1794.71	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_maize_exp3C.bed; pass3-checks.py maize banded
3C-b	314	ULTRA/banded	Loss under band (pp)	−1.89	-1.8927343344332712	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_maize_exp3C.bed; pass3-checks.py maize banded
3C-b	315	tantan/banded	Detected	17/17	17/17	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_maize_w200.bed; pass3-checks.py maize banded
3C-b	315	tantan/banded	Coverage (%)	55.59	55.59416152314765	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_maize_w200.bed; pass3-checks.py maize banded
3C-b	315	tantan/banded	Offset (bp)	1,770	1770.44	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_maize_w200.bed; pass3-checks.py maize banded
3C-b	315	tantan/banded	Loss under band (pp)	−0.91	-0.9146531007306109	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_maize_w200.bed; pass3-checks.py maize banded
S2	508	Calls	Unique to BWTandem	875,084	875084	REJECTED	results/regen/s2_F_p100.txt: Calls
S2	508	Calls	Shared	3,118,067	3118067	REJECTED	results/regen/s2_F_p100.txt: Calls
S2	509	Share of BWTandem output (%)	Unique to BWTandem	21.9	21.914623313769003	REJECTED	results/regen/s2_F_p100.txt: Share of BWTandem output (%)
S2	509	Share of BWTandem output (%)	Shared	78.1	78.085376686231	REJECTED	results/regen/s2_F_p100.txt: Share of BWTandem output (%)
S2	510	Median call length (bp)	Unique to BWTandem	25	25	REJECTED	results/regen/s2_F_p100.txt: Median call length (bp)
S2	510	Median call length (bp)	Shared	24	24	REJECTED	results/regen/s2_F_p100.txt: Median call length (bp)
S2	511	Mean motif entropy (bits)	Unique to BWTandem	1.24	1.241	REJECTED	results/regen/s2_F_p100.txt: Mean motif entropy (bits)
S2	511	Mean motif entropy (bits)	Shared	1.03	1.03	REJECTED	results/regen/s2_F_p100.txt: Mean motif entropy (bits)
S2	512	Motif entropy below 1 bit (%)	Unique to BWTandem	38.9	38.9	REJECTED	results/regen/s2_F_p100.txt: Motif entropy below 1 bit (%)
S2	512	Motif entropy below 1 bit (%)	Shared	46.4	46.4	REJECTED	results/regen/s2_F_p100.txt: Motif entropy below 1 bit (%)
S2	513	Period 1–2 bp (%)	Unique to BWTandem	13.2	13.2	REJECTED	results/regen/s2_F_p100.txt: Period 1–2 bp (%)
S2	513	Period 1–2 bp (%)	Shared	24.8	24.8	REJECTED	results/regen/s2_F_p100.txt: Period 1–2 bp (%)
S2	514	Period 21–100 bp (%)	Unique to BWTandem	21.9	21.9	REJECTED	results/regen/s2_F_p100.txt: Period 21–100 bp (%)
S2	514	Period 21–100 bp (%)	Shared	6.1	6.1	REJECTED	results/regen/s2_F_p100.txt: Period 21–100 bp (%)
S2	515	Outside the adotto catalog (%)	Unique to BWTandem	91.3	91.2864365020958	REJECTED	results/regen/s2_F_p100.txt: Outside the adotto catalog (%)
S2	515	Outside the adotto catalog (%)	Shared	37.6	37.61416929142318	REJECTED	results/regen/s2_F_p100.txt: Outside the adotto catalog (%)
S3	521	pass disabled	Region recall (%)	62.59	62.59	REJECTED	results/regen/score_table1_idsweep.txt: BASELINE
S3	521	pass disabled	Region precision (%)	54.72	54.72	REJECTED	results/regen/score_table1_idsweep.txt: BASELINE
S3	522	0.80	Region recall (%)	71.36	71.36	REJECTED	results/regen/score_table1_idsweep.txt: BASELINE
S3	522	0.80	Region precision (%)	53.42	53.42	REJECTED	results/regen/score_table1_idsweep.txt: BASELINE
S3	523	0.76	Region recall (%)	71.53	71.53	REJECTED	results/regen/score_table1_idsweep.txt: BASELINE
S3	523	0.76	Region precision (%)	53.35	53.35	REJECTED	results/regen/score_table1_idsweep.txt: BASELINE
S3	524	0.72	Region recall (%)	80.53	80.53	REJECTED	results/regen/score_table1_idsweep.txt: BASELINE
S3	524	0.72	Region precision (%)	50.50	50.50	REJECTED	results/regen/score_table1_idsweep.txt: BASELINE
S3	525	0.68	Region recall (%)	81.46	81.46	REJECTED	results/regen/score_table1_idsweep.txt: BASELINE
S3	525	0.68	Region precision (%)	48.92	48.92	REJECTED	results/regen/score_table1_idsweep.txt: BASELINE
S4a	533	ULTRA	Matched	554,179	554179	REJECTED	results/one_to_one/one_to_one_ultra_r50.json
S4a	533	ULTRA	1:1 sens. (%)	31.05	31.04985197254152	REJECTED	results/one_to_one/one_to_one_ultra_r50.json
S4a	533	ULTRA	1:1 prec. (%)	17.23	17.228130605494435	REJECTED	results/one_to_one/one_to_one_ultra_r50.json
S4a	534	BWTandem	Matched	348,464	348464	REJECTED	results/one_to_one/one_to_one_bwtandem_r50.json
S4a	534	BWTandem	1:1 sens. (%)	19.52	19.523936521881396	REJECTED	results/one_to_one/one_to_one_bwtandem_r50.json
S4a	534	BWTandem	1:1 prec. (%)	8.68	8.680982175865722	REJECTED	results/one_to_one/one_to_one_bwtandem_r50.json
S4a	535	TRF	Matched	197,087	197087	REJECTED	results/one_to_one/one_to_one_trf_r50.json
S4a	535	TRF	1:1 sens. (%)	11.04	11.042501025322668	REJECTED	results/one_to_one/one_to_one_trf_r50.json
S4a	535	TRF	1:1 prec. (%)	20.47	20.469404478639685	REJECTED	results/one_to_one/one_to_one_trf_r50.json
S4a	536	tantan	Matched	113,649	113649	REJECTED	results/one_to_one/one_to_one_tantan_r50.json
S4a	536	tantan	1:1 sens. (%)	6.37	6.367589942649165	REJECTED	results/one_to_one/one_to_one_tantan_r50.json
S4a	536	tantan	1:1 prec. (%)	3.42	3.4236545431376735	REJECTED	results/one_to_one/one_to_one_tantan_r50.json
S4a	537	TRASH	Matched	1,241	1241	REJECTED	results/one_to_one/one_to_one_trash_r50.json
S4a	537	TRASH	1:1 sens. (%)	0.07	0.06953144434907138	REJECTED	results/one_to_one/one_to_one_trash_r50.json
S4a	537	TRASH	1:1 prec. (%)	24.17	24.172185430463575	REJECTED	results/one_to_one/one_to_one_trash_r50.json
S4b	543	ULTRA	Matched	1,122,910	1122910	REJECTED	results/one_to_one/one_to_one_ultra_annot_r50.json
S4b	543	ULTRA	1:1 sens. (%)	62.92	62.915031566491336	REJECTED	results/one_to_one/one_to_one_ultra_annot_r50.json
S4b	543	ULTRA	1:1 prec. (%)	34.91	34.908648899030375	REJECTED	results/one_to_one/one_to_one_ultra_annot_r50.json
S4b	543	ULTRA	Δstart med. (bp)	1	1.0	REJECTED	results/one_to_one/one_to_one_ultra_annot_r50.json
S4b	543	ULTRA	Period exact (%)	59.61	59.61	REJECTED	results/one_to_one/one_to_one_ultra_annot_r50.json
S4b	543	ULTRA	Sens. 1–6 (%)	57.77	57.7707076247943	REJECTED	results/one_to_one/one_to_one_ultra_annot_r50.json
S4b	543	ULTRA	7–20 (%)	72.32	72.31733394804557	REJECTED	results/one_to_one/one_to_one_ultra_annot_r50.json
S4b	543	ULTRA	21–100 (%)	80.90	80.90284157506257	REJECTED	results/one_to_one/one_to_one_ultra_annot_r50.json
S4b	543	ULTRA	101–500 (%)	8.36	8.36341090764155	REJECTED	results/one_to_one/one_to_one_ultra_annot_r50.json
S4b	544	BWTandem	Matched	1,050,831	1050831	REJECTED	results/one_to_one/one_to_one_bwtandem_annot_r50.json
S4b	544	BWTandem	1:1 sens. (%)	58.88	58.87654890957214	REJECTED	results/one_to_one/one_to_one_bwtandem_annot_r50.json
S4b	544	BWTandem	1:1 prec. (%)	26.18	26.17844362931939	REJECTED	results/one_to_one/one_to_one_bwtandem_annot_r50.json
S4b	544	BWTandem	Δstart med. (bp)	2	2	REJECTED	results/one_to_one/one_to_one_bwtandem_annot_r50.json
S4b	544	BWTandem	Period exact (%)	58.66	58.66	REJECTED	results/one_to_one/one_to_one_bwtandem_annot_r50.json
S4b	544	BWTandem	Copy med. rel. err. (%)	34.15	34.15	REJECTED	results/one_to_one/one_to_one_bwtandem_annot_r50.json
S4b	544	BWTandem	Sens. 1–6 (%)	59.21	59.209520856686304	REJECTED	results/one_to_one/one_to_one_bwtandem_annot_r50.json
S4b	544	BWTandem	7–20 (%)	58.24	58.243234885669146	REJECTED	results/one_to_one/one_to_one_bwtandem_annot_r50.json
S4b	544	BWTandem	21–100 (%)	62.38	62.37779960084899	REJECTED	results/one_to_one/one_to_one_bwtandem_annot_r50.json
S4b	544	BWTandem	101–500 (%)	46.39	46.39401253293771	REJECTED	results/one_to_one/one_to_one_bwtandem_annot_r50.json
S4b	545	tantan	Matched	961,163	961163	REJECTED	results/one_to_one/one_to_one_tantan_annot_r50.json
S4b	545	tantan	1:1 sens. (%)	53.85	53.8525798911253	REJECTED	results/one_to_one/one_to_one_tantan_annot_r50.json
S4b	545	tantan	1:1 prec. (%)	28.95	28.95485285084634	REJECTED	results/one_to_one/one_to_one_tantan_annot_r50.json
S4b	545	tantan	Δstart med. (bp)	0	0	REJECTED	results/one_to_one/one_to_one_tantan_annot_r50.json
S4b	545	tantan	Period exact (%)	73.54	73.54	REJECTED	results/one_to_one/one_to_one_tantan_annot_r50.json
S4b	545	tantan	Sens. 1–6 (%)	60.31	60.306708960385414	REJECTED	results/one_to_one/one_to_one_tantan_annot_r50.json
S4b	545	tantan	7–20 (%)	49.27	49.27087257277687	REJECTED	results/one_to_one/one_to_one_tantan_annot_r50.json
S4b	545	tantan	21–100 (%)	41.41	41.40906643013273	REJECTED	results/one_to_one/one_to_one_tantan_annot_r50.json
S4b	545	tantan	101–500 (%)	1.67	1.6695821615996103	REJECTED	results/one_to_one/one_to_one_tantan_annot_r50.json
S4b	546	TRF	Matched	518,719	518719	REJECTED	results/one_to_one/one_to_one_trf_annot_r50.json
S4b	546	TRF	1:1 sens. (%)	29.06	29.06307919525057	REJECTED	results/one_to_one/one_to_one_trf_annot_r50.json
S4b	546	TRF	1:1 prec. (%)	53.87	53.874020213182504	REJECTED	results/one_to_one/one_to_one_trf_annot_r50.json
S4b	546	TRF	Δstart med. (bp)	0	0	REJECTED	results/one_to_one/one_to_one_trf_annot_r50.json
S4b	546	TRF	Period exact (%)	63.53	63.53	REJECTED	results/one_to_one/one_to_one_trf_annot_r50.json
S4b	546	TRF	Sens. 1–6 (%)	17.87	17.865057597366977	REJECTED	results/one_to_one/one_to_one_trf_annot_r50.json
S4b	546	TRF	7–20 (%)	33.88	33.88395057563678	REJECTED	results/one_to_one/one_to_one_trf_annot_r50.json
S4b	546	TRF	21–100 (%)	77.60	77.59559033167548	REJECTED	results/one_to_one/one_to_one_trf_annot_r50.json
S4b	546	TRF	101–500 (%)	62.40	62.401186864772704	REJECTED	results/one_to_one/one_to_one_trf_annot_r50.json
S4b	547	TRASH	Matched	892	892	REJECTED	results/one_to_one/one_to_one_trash_annot_r50.json
S4b	547	TRASH	1:1 sens. (%)	0.05	0.049977476518430035	REJECTED	results/one_to_one/one_to_one_trash_annot_r50.json
S4b	547	TRASH	1:1 prec. (%)	17.37	17.374366965329177	REJECTED	results/one_to_one/one_to_one_trash_annot_r50.json
S4b	547	TRASH	Δstart med. (bp)	494	494.0	REJECTED	results/one_to_one/one_to_one_trash_annot_r50.json
S4b	547	TRASH	Period exact (%)	33.41	33.41	REJECTED	results/one_to_one/one_to_one_trash_annot_r50.json
S4b	547	TRASH	Sens. 1–6 (%)	0.01	0.005628562570058909	REJECTED	results/one_to_one/one_to_one_trash_annot_r50.json
S4b	547	TRASH	7–20 (%)	0.02	0.02248947211586576	REJECTED	results/one_to_one/one_to_one_trash_annot_r50.json
S4b	547	TRASH	21–100 (%)	0.21	0.20654480945290968	REJECTED	results/one_to_one/one_to_one_trash_annot_r50.json
S4b	547	TRASH	101–500 (%)	0.86	0.8569340802905161	REJECTED	results/one_to_one/one_to_one_trash_annot_r50.json
